x3,x4,x1,x2,x5,y
5.1,3.5,1.4,0.2,a,0
4.9,3,1.4,0.2,a,0
4.7,3.2,1.3,0.2,a,0
4.6,3.1,1.5,0.2,a,0
5,3.6,1.4,0.2,a,0
5.4,3.9,1.7,0.4,a,0
4.6,3.4,1.4,0.3,a,0
5,3.4,1.5,0.2,a,0
4.4,2.9,1.4,0.2,e,0
4.9,3.1,1.5,0.1,e,0
5.4,3.7,1.5,0.2,e,0
4.8,3.4,1.6,0.2,e,0
4.8,3,1.4,0.1,e,0
4.3,3,1.1,0.1,e,0
5.8,4,1.2,0.2,e,0
5.7,4.4,1.5,0.4,e,0
5.4,3.9,1.3,0.4,e,0
5.1,3.5,1.4,0.3,e,0
5.7,3.8,1.7,0.3,e,0
5.1,3.8,1.5,0.3,s,0
5.4,3.4,1.7,0.2,s,0
5.1,3.7,1.5,0.4,s,0
4.6,3.6,1,0.2,s,0
5.1,3.3,1.7,0.5,s,0
4.8,3.4,1.9,0.2,s,0
5,3,1.6,0.2,s,0
5,3.4,1.6,0.4,s,0
5.2,3.5,1.5,0.2,s,0
5.2,3.4,1.4,0.2,s,0
4.7,3.2,1.6,0.2,s,0
4.8,3.1,1.6,0.2,e,0
5.4,3.4,1.5,0.4,s,0
5.2,4.1,1.5,0.1,a,0
5.5,4.2,1.4,0.2,s,0
4.9,3.1,1.5,0.2,a,0
5,3.2,1.2,0.2,s,0
5.5,3.5,1.3,0.2,a,0
4.9,3.6,1.4,0.1,e,0
4.4,3,1.3,0.2,s,0
5.1,3.4,1.5,0.2,a,0
5,3.5,1.3,0.3,s,0
4.5,2.3,1.3,0.3,e,0
4.4,3.2,1.3,0.2,s,0
5,3.5,1.6,0.6,s,0
5.1,3.8,1.9,0.4,s,0
4.8,3,1.4,0.3,s,0
5.1,3.8,1.6,0.2,a,0
4.6,3.2,1.4,0.2,a,0
5.3,3.7,1.5,0.2,a,0
5,3.3,1.4,0.2,a,0
7,3.2,4.7,1.4,e,1
6.4,3.2,4.5,1.5,e,1
6.9,3.1,4.9,1.5,e,1
5.5,2.3,4,1.3,e,1
6.5,2.8,4.6,1.5,s,1
5.7,2.8,4.5,1.3,e,1
6.3,3.3,4.7,1.6,s,1
4.9,2.4,3.3,1,a,1
6.6,2.9,4.6,1.3,s,1
5.2,2.7,3.9,1.4,e,1
5,2,3.5,1,s,1
5.9,3,4.2,1.5,a,1
6,2.2,4,1,s,1
6.1,2.9,4.7,1.4,e,1
5.6,2.9,3.6,1.3,s,1
6.7,3.1,4.4,1.4,a,1
5.6,3,4.5,1.5,a,1
5.8,2.7,4.1,1,s,1
6.2,2.2,4.5,1.5,e,1
5.6,2.5,3.9,1.1,a,1
5.9,3.2,4.8,1.8,e,1
6.1,2.8,4,1.3,e,1
6.3,2.5,4.9,1.5,s,1
6.1,2.8,4.7,1.2,e,1
6.4,2.9,4.3,1.3,s,1
6.6,3,4.4,1.4,a,1
6.8,2.8,4.8,1.4,s,1
6.7,3,5,1.7,e,1
6,2.9,4.5,1.5,s,1
5.7,2.6,3.5,1,a,1
5.5,2.4,3.8,1.1,s,1
5.5,2.4,3.7,1,e,1
5.8,2.7,3.9,1.2,s,1
6,2.7,5.1,1.6,e,1
5.4,3,4.5,1.5,s,1
6,3.4,4.5,1.6,a,1
6.7,3.1,4.7,1.5,a,1
6.3,2.3,4.4,1.3,s,1
5.6,3,4.1,1.3,e,1
5.5,2.5,4,1.3,a,1
5.5,2.6,4.4,1.2,e,1
6.1,3,4.6,1.4,e,1
5.8,2.6,4,1.2,s,1
5,2.3,3.3,1,e,1
5.6,2.7,4.2,1.3,s,1
5.7,3,4.2,1.2,a,1
5.7,2.9,4.2,1.3,s,1
6.2,2.9,4.3,1.3,e,1
5.1,2.5,3,1.1,s,1
5.7,2.8,4.1,1.3,s,1
6.3,3.3,6,2.5,s,2
5.8,2.7,5.1,1.9,s,2
7.1,3,5.9,2.1,a,2
6.3,2.9,5.6,1.8,a,2
6.5,3,5.8,2.2,a,2
7.6,3,6.6,2.1,a,2
4.9,2.5,4.5,1.7,e,2
7.3,2.9,6.3,1.8,e,2
6.7,2.5,5.8,1.8,e,2
7.2,3.6,6.1,2.5,e,2
6.5,3.2,5.1,2,s,2
6.4,2.7,5.3,1.9,e,2
6.8,3,5.5,2.1,s,2
5.7,2.5,5,2,s,2
5.8,2.8,5.1,2.4,e,2
6.4,3.2,5.3,2.3,s,2
6.5,3,5.5,1.8,a,2
7.7,3.8,6.7,2.2,a,2
7.7,2.6,6.9,2.3,s,2
6,2.2,5,1.5,e,2
6.9,3.2,5.7,2.3,s,2
5.6,2.8,4.9,2,a,2
7.7,2.8,6.7,2,s,2
6.3,2.7,4.9,1.8,a,2
6.7,3.3,5.7,2.1,s,2
7.2,3.2,6,1.8,a,2
6.2,2.8,4.8,1.8,s,2
