city,lat,lng
Prairie Ridge,47.1443,-122.1408
Edison,48.5602,-122.4311
Packwood,46.6085,-121.6702
Wautauga Beach,47.5862,-122.5482
Harper,47.5207,-122.5196
Telma,47.8432,-120.8157
Kahlotus,46.6437,-118.5565
Mondovi,47.6813,-118.0164
Washtucna,46.754,-118.3106
Pleasant Hill,47.6154,-121.9096
Toledo,46.4412,-122.8493
Wabash,47.2429,-122.0576
Renton,47.4758,-122.1905
Chehalis,46.6637,-122.9647
Marcellus,47.2335,-118.4053
Central Valley,47.6632,-122.6499
Ralston,46.9838,-118.3427
Lake City,47.1487,-122.5512
Megler,46.2509,-123.8576
Alder,46.7872,-122.2666
Goose Prairie,46.8951,-121.267
Belvedere,48.0499,-118.985
Waverly,47.3381,-117.2313
Turner Corner,47.8045,-122.1435
Lofall,47.8114,-122.6563
Kennydale,47.5207,-122.2068
Easton,47.2405,-121.1733
Navy Yard City,47.5508,-122.6655
Mercer Island,47.5625,-122.2265
Lynnwood,47.8285,-122.3034
Coulee City,47.612,-119.2892
Douglas,47.6212,-120.0048
Centralia,46.7226,-122.9695
Colbert,47.8266,-117.3419
Bryn Mawr,47.5034,-122.2329
Silverdale,47.6663,-122.6828
Lyle,45.6956,-121.2805
Malott,48.2919,-119.6955
Mountlake Terrace,47.792,-122.3076
Ilwaco,46.3108,-124.0422
Fairwood,47.4467,-122.143
Warm Beach,48.1649,-122.3442
Thomas,47.3537,-122.229
Parker,46.5022,-120.4668
Steptoe,47.0075,-117.3502
Vail,46.8451,-122.6562
Magnolia Beach,47.382,-122.4832
Lakeview,47.1593,-122.4982
Shaw Island,48.5843,-122.9291
Oakesdale,47.1305,-117.2465
Rosburg,46.3076,-123.6344
Seattle,47.6211,-122.3244
Onalaska,46.5783,-122.7112
George,47.0846,-119.8598
Index,47.8212,-121.5556
Winchester,47.249,-119.7198
Chelatchie,45.9279,-122.3795
Allentown,47.4943,-122.2762
Novelty,47.709,-121.9846
Rosalia,47.2363,-117.377
Richmond Beach,47.7695,-122.3901
Lakota,47.3329,-122.3723
Liberty Lake,47.6687,-117.1032
Airway Heights,47.6459,-117.5792
Reardan,47.6698,-117.8778
Farmer,47.6126,-119.812
Brier,47.7922,-122.2734
Robe,48.0973,-121.8135
Elk Plain,47.0448,-122.3671
Port Townsend,48.122,-122.7872
Ocean City,47.0762,-124.1619
Boulevard Park,47.5135,-122.3159
Newhalem,48.6737,-121.2473
Ford,47.9082,-117.8058
Waterville,47.648,-120.0707
Quinault,47.467,-123.8455
Humptulips,47.2491,-123.9348
Hamilton,48.5282,-121.9834
Oak Harbor,48.2965,-122.633
Naches,46.7274,-120.6945
Hooper,46.7749,-118.1486
Anacortes,48.4878,-122.6292
Kettle Falls,48.6055,-118.062
Walnut Grove,45.6769,-122.6072
Salkum,46.5321,-122.6259
Cunningham,46.8221,-118.8064
Irby,47.3593,-118.8511
Electric City,47.922,-119.0475
Burbank,46.1991,-118.9728
Silver Lake,46.2973,-122.8107
Dash Point,47.3131,-122.4153
Pataha,46.4732,-117.5366
Laurel,45.944,-121.3801
Woods Creek,47.8821,-121.8982
McKenna,46.9365,-122.55
Revere,47.0813,-117.9302
Kalama,46.0171,-122.8393
Grandview,46.2431,-119.9084
Winthrop,48.4716,-120.179
Maltby,47.8027,-122.1044
Spangle,47.4299,-117.3812
Blanchard,48.5934,-122.4166
Artondale,47.3023,-122.6398
May Creek,47.8555,-121.6744
Home,47.279,-122.7744
Vashon,47.4122,-122.4726
Snoqualmie Falls,47.5398,-121.8098
Laurier,48.9974,-118.2248
Quincy,47.2345,-119.852
Lake McMurray,48.3129,-122.2317
Martha Lake,47.848,-122.2326
Ariel,45.9568,-122.5709
Loon Lake,48.0685,-117.6298
Thornton,47.1207,-117.3896
Starbuck,46.5183,-118.1247
Ronald,47.2338,-121.0335
Kelso,46.1248,-122.8908
Meadowdale,47.8583,-122.3156
Cottage Lake,47.7466,-122.0755
Cheney,47.4902,-117.5789
Woodway,47.7903,-122.3851
Lacey,47.045,-122.7931
Harrah,46.407,-120.5423
Allyn,47.3863,-122.8386
South Bend,46.668,-123.8008
Barstow,48.7783,-118.1329
Tiger,48.6916,-117.4077
Warden,46.9681,-119.0515
Junction City,46.9713,-123.7651
Blyn,48.0131,-122.9897
Lakebay,47.257,-122.7585
Tahuya,47.3712,-123.0557
Waukon,47.5396,-117.8433
Kitsap Lake,47.5829,-122.7085
Sultan,47.8702,-121.8041
Plain,47.7626,-120.6573
Tanner,47.4813,-121.6922
Stehekin,48.3093,-120.6565
Edmonds,47.8114,-122.3533
North Hill,47.4193,-122.3235
Zillah,46.4083,-120.2718
Monse,48.1413,-119.6778
Lake Forest Park,47.7596,-122.2879
Chinook,46.2755,-123.9425
Albion,46.7916,-117.2511
Skykomish,47.7103,-121.3584
Yakima,46.5923,-120.5496
Pacific,47.261,-122.2507
Wishram,45.6599,-120.9698
Cascade Valley,47.1371,-119.3272
Cathcart,47.8525,-122.1058
Brush Prairie,45.725,-122.5483
Amboy,45.9122,-122.4795
Centerville,45.754,-120.9081
Verlot,48.1002,-121.7679
Alstown,47.561,-119.9951
Synarep,48.521,-119.3309
Annapolis,47.5476,-122.6207
Port Gamble,47.8543,-122.5838
Eatonville,46.8682,-122.2697
Similk Beach,48.4479,-122.5779
Cougar,46.0515,-122.2995
Eglon,47.8626,-122.5146
Paterson,45.9371,-119.6028
Tenino,46.8537,-122.8607
Minnehaha,45.6577,-122.6204
Raymond,46.6838,-123.7381
Alger,48.6176,-122.3369
Roy,46.9971,-122.5423
Almira,47.7105,-118.9369
Fragaria,47.464,-122.5312
Green Bluff,47.819,-117.277
Woodmont Beach,47.3615,-122.3121
Frances,46.5423,-123.5049
Lynden,48.9503,-122.4544
Clayton,48.0012,-117.5611
Everson,48.9123,-122.351
White Swan,46.3769,-120.7382
Camano,48.1865,-122.4708
Cedar Grove,47.4357,-122.0621
Winton,47.7354,-120.7412
East Olympia,46.9676,-122.8357
Sunset Beach,47.2182,-122.5726
Belfair,47.4512,-122.8473
Oso,48.2836,-121.9238
Federal Way,47.309,-122.3359
Scandia,47.7165,-122.6579
Quilcene,47.8369,-122.9058
Covada,48.2204,-118.2089
Keyport,47.6993,-122.6232
Juanita,47.7032,-122.2071
Molson,48.981,-119.2006
Daisy,48.3613,-118.16
Sumas,48.9956,-122.2695
Mill Creek,47.8633,-122.2034
Lakewood,47.1628,-122.5299
Venersborg,45.786,-122.4721
West Lake Sammamish,47.5776,-122.1012
Port Angeles,48.1142,-123.4565
Longview,46.146,-122.963
Fairmont,47.902,-122.2543
Wapato,46.4434,-120.4215
East Port Orchard,47.5193,-122.6183
North Omak,48.444,-119.4459
East Farms,47.7074,-117.0524
Eschbach,46.667,-120.6337
Chattaroy,47.8896,-117.3577
Inchelium,48.3378,-118.2372
Maxwelton,47.9373,-122.4443
White Center,47.5086,-122.348
Medical Lake,47.5713,-117.6893
Lyman,48.523,-122.0634
Arlington,48.1697,-122.1446
Ruston,47.2982,-122.51
McCleary,47.0584,-123.2723
Sammamish,47.6019,-122.0419
Covington,47.3668,-122.1044
McMillin,47.1286,-122.2374
La Grande,46.8199,-122.2962
Cromwell,47.2743,-122.6224
Berrydale,47.3398,-122.1279
Wenatchee,47.4338,-120.3285
Urban,48.6179,-122.6921
Maplewood,47.3715,-122.5689
Marys Corner,46.5471,-122.8226
Mattawa,46.7364,-119.9019
Cove,47.452,-122.5079
Chico,47.6234,-122.7198
Maple Falls,48.9135,-122.1049
Colvos,47.4762,-122.4907
Ames Lake,47.6346,-121.9664
Ellisforde,48.7899,-119.4012
Selah,46.6482,-120.5389
Pine Lake,47.5787,-122.0462
Tampico,46.5325,-120.8727
Colton,46.5675,-117.1285
Usk,48.3138,-117.2797
Cle Elum,47.1946,-120.9553
Omak,48.4227,-119.5159
Eureka,46.3032,-118.6167
Harrington,47.4802,-118.2553
Sedro-Woolley,48.5113,-122.232
Cherry Grove,45.8021,-122.5764
La Push,47.9087,-124.6366
Lake Ketchum,48.282,-122.348
Arletta,47.2901,-122.6676
Opportunity,47.6574,-117.2399
Glenoma,46.5146,-122.1601
Curlew,48.8777,-118.6045
Hartline,47.6894,-119.1081
Midland,47.1734,-122.412
Adna,46.629,-123.0612
Roslyn,47.2507,-121.0987
Deer Park,47.9642,-117.4397
Tracyton,47.6095,-122.6533
Hunts Point,47.642,-122.229
Koontzville,48.0157,-118.9472
Fruitland,48.071,-118.1989
Chewelah,48.2929,-117.7336
Mohler,47.4049,-118.3291
East Renton Highlands,47.4718,-122.0854
Sunnyside,46.3159,-120.0058
Long Lake,47.836,-117.8488
Wauna,47.3861,-122.6693
Liberty,47.2537,-120.6654
Normandy Park,47.4344,-122.3436
Mirrormont,47.4616,-121.9936
Parkwood,47.5265,-122.5986
Jamestown,48.1229,-123.0911
Forks,47.9526,-124.3904
Wallula,46.0847,-118.9056
Nighthawk,48.9665,-119.642
SeaTac,47.4445,-122.2986
Royal City,46.9,-119.6142
Beaux Arts Village,47.5854,-122.2009
Steilacoom,47.17,-122.5935
Northport,48.9159,-117.7796
Eldon,47.5454,-123.046
Ridgefield,45.8116,-122.7052
Ryderwood,46.3749,-123.0441
Manchester,47.5519,-122.5517
Vashon Heights,47.5057,-122.4654
Salmon Creek,45.7099,-122.6632
Vantage,46.9453,-119.9923
Creston,47.7596,-118.5201
Soap Lake,47.3914,-119.4892
Silver Firs,47.8635,-122.1497
Plaza,47.3202,-117.3838
Machias,47.9917,-122.0515
Neah Bay,48.3612,-124.6115
Malo,48.7998,-118.6119
Clyde Hill,47.6303,-122.218
Marlin,47.4074,-118.985
North Yelm,46.9647,-122.6028
Grand Coulee,47.9391,-119.0031
Outlook,46.3311,-120.0923
Clinton,47.9731,-122.3577
Evans,48.7135,-118.0253
Browns Point,47.3036,-122.4369
Kennewick,46.1979,-119.1732
North Marysville,48.1112,-122.1459
Beaver Valley,47.9259,-122.7302
Ahtanum,46.5581,-120.6099
Carbonado,47.0805,-122.0536
Hyak,47.3929,-121.3929
Arlington Heights,48.2119,-122.0631
North Sultan,47.8827,-121.8251
Pullman,46.7342,-117.1661
Wymer,46.826,-120.4598
Adelaide,47.3309,-122.3604
Peaceful Valley,48.9477,-122.1406
West Richland,46.3115,-119.3997
Fife Heights,47.2593,-122.3457
Manson,47.8858,-120.1563
Sprague,47.3048,-117.9713
Cosmopolis,46.9541,-123.7725
Redondo,47.3484,-122.3235
Waller,47.2035,-122.3699
Addy,48.3588,-117.8372
Matlock,47.2379,-123.4079
Longbranch,47.2257,-122.7739
North Bonneville,45.6425,-121.9689
Pomeroy,46.4737,-117.5967
Colville,48.5454,-117.8986
Palmer,47.3143,-121.8923
Skyway,47.4915,-122.2543
Medina,47.6256,-122.2338
Algona,47.282,-122.2503
Nine Mile Falls,47.7757,-117.5461
Black Diamond,47.313,-122.0181
Gold Bar,47.8566,-121.6927
Mesa,46.5737,-119.0013
Cavalero Corner,47.9782,-122.1349
Lilliwaup,47.4634,-123.1143
La Conner,48.3927,-122.4945
Sheridan Beach,47.7448,-122.2882
Emden,47.1046,-118.1227
Markham,46.9155,-123.9814
Eltopia,46.4587,-119.0172
Stevenson,45.6943,-121.8932
Greenwater,47.1465,-121.632
Copalis Beach,47.1205,-124.1722
Roosevelt,47.8923,-122.0123
La Crosse,46.8014,-117.9026
Summit,47.1694,-122.3628
Ohop,46.9457,-122.1907
Malden,47.2296,-117.4731
Beverly,46.8368,-119.9331
Prosser,46.2066,-119.7662
Lake Roesiger,47.9839,-121.9129
Fern Prairie,45.637,-122.3963
Maple Valley,47.366,-122.0369
Gifford,48.3063,-118.1464
Auburn,47.3041,-122.211
Burton,47.389,-122.4607
Kewa,48.201,-118.2786
Carrolls,46.0715,-122.8623
Bayne,47.2951,-121.9096
East Cathlamet,46.1968,-123.358
Purdy,47.3938,-122.6114
Kapowsin,46.9727,-122.2272
Ketron,47.1569,-122.6343
Connell,46.6626,-118.8404
Lincoln,47.829,-118.415
Clear Lake,48.4561,-122.2378
Kittitas,46.9837,-120.4192
Bucoda,46.7968,-122.868
Ardenvoir,47.7373,-120.369
Ellisport,47.4204,-122.4354
Bainbridge Island,47.6439,-122.5434
Danville,48.9938,-118.5068
Hazelwood,47.5509,-122.1915
Holly,47.5576,-122.9785
Valley,48.173,-117.7245
Republic,48.6477,-118.7326
Odessa,47.3326,-118.6895
Edgewood,47.2309,-122.2832
Burlington,48.4677,-122.3298
Rice,48.4288,-118.1703
Marengo,47.0257,-118.1886
Cusick,48.3328,-117.2962
Virginia,47.7073,-122.6374
Concrete,48.5371,-121.7512
Langley,48.0337,-122.4084
Othello,46.8222,-119.1651
North City,47.7557,-122.3135
Hazel Dell,45.6797,-122.6553
Colfax,46.9031,-117.3394
Metaline,48.854,-117.3899
Randle,46.5351,-121.957
Millwood,47.6856,-117.2806
Snoqualmie Pass,47.4014,-121.411
Bangor,47.7209,-122.746
Thorp,47.0655,-120.6709
Tahlequah,47.3326,-122.5073
Prescott,46.2988,-118.3125
Buckley,47.1615,-122.02
Dalkena,48.2449,-117.2377
Leland,47.8918,-122.8866
Fruitvale,46.6179,-120.5531
Port Hadlock,48.0318,-122.7582
University Place,47.2148,-122.546
Morton,46.5575,-122.2815
Deep River,46.3521,-123.6984
Elberton,46.9813,-117.2213
Kingston,47.8014,-122.4989
Silverton,48.0784,-121.5671
Vader,46.4045,-122.9569
Donald,46.4737,-120.3923
Miles,47.9107,-118.2925
Asotin,46.3371,-117.0433
Joyce,48.1365,-123.7341
Eagledale,47.6143,-122.5154
Port Ludlow,47.9101,-122.7006
Loomis,48.8235,-119.6398
New London,47.0573,-123.9271
Desert Aire,46.6873,-119.9311
Poulsbo,47.7417,-122.6407
Cedonia,48.1538,-118.1692
Union,47.3475,-123.0952
Suquamish,47.7237,-122.583
Deep Creek,47.6429,-117.7122
Yoman,47.1865,-122.7062
Cordell,48.8665,-119.412
Hoquiam,46.9863,-123.9023
Hay,46.6788,-117.9158
Nespelem,48.167,-118.9722
Ephrata,47.3119,-119.5344
Kent,47.3887,-122.2128
Mukilteo,47.9094,-122.3035
Boise,47.1804,-122.0157
Kirkland,47.6997,-122.2041
Waitsburg,46.2696,-118.151
Ridgecrest,47.7473,-122.3179
Freeman,47.5182,-117.1958
Dallesport,45.6316,-121.1749
Redmond,47.6762,-122.1166
Wilkeson,47.1034,-122.0495
Sisco Heights,48.1188,-122.1076
Lewisville,45.8127,-122.5144
Kennard Corner,47.8201,-122.2076
Benge,46.9093,-118.1025
Granger,46.3455,-120.1925
Yarrow Point,47.6452,-122.2179
Lost Creek,48.6094,-117.3636
Moxee City,46.5537,-120.3831
Hockinson,45.7301,-122.4833
Oakville,46.8403,-123.2333
